TASK 1 :DATA EXTRACTION AND INITIAL ANALYSIS,,,,,,
,,,,,,
Company_Name,Year,Total_Revenue $ ,Net_Income,Total_Assets,Total_Liabilities,Cash_Flow_From_Operating_Activities
Microsoft,2023,211915.00,72361.00,565583.00,259605.00,87582.00
Microsoft,2024,245122.00,88136.00,512163.00,243686.00,118548.00
Microsoft,2025,281728.00,101832.00,619003.00,275524.00,136162.00
Tesla,2023,96773.00,14974.00,106618.00,43009.00,13253.00
Tesla,2024,97690.00,7153.00,122070.00,48390.00,13293.00
Tesla,2025,97231.50,11063.50,114344.00,45699.50,13273.00
Apple,2023,383285.00,96995.00,352583.00,290437.00,110543.00
Apple,2024,391035.00,93736.00,364980.00,308030.00,118254.00
Apple,2025,401800.00,95200.00,378000.00,318000.00,121000.00
